2020-06-27 17:18:08,895 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:08,895 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 420
2020-06-27 17:18:09,422 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:09,422 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:09,673 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:09,674 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:09,923 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:09,924 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:10,220 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:10,221 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:10,471 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:10,472 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:10,719 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:10,720 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:11,016 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:11,016 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:11,263 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:11,263 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:11,509 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:11,510 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:11,814 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:11,814 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:12,062 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:12,063 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:12,311 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:12,311 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:12,772 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:12,772 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:13,048 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:13,048 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:13,315 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:13,316 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:13,670 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:13,671 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:13,964 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:13,964 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:14,240 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:14,241 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:14,562 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:14,562 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:14,831 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:14,832 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:15,101 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:15,102 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:15,448 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:15,448 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:15,718 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:15,718 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:15,987 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:15,988 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:16,290 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:16,290 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:16,559 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:16,559 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:16,807 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:16,807 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:17,169 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:17,170 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:17,420 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:17,421 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:17,693 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:17,693 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:18,001 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:18,001 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:18,271 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:18,271 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:18,542 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:18,542 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:18,880 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:18,880 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:19,129 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
